
> backend@1.0.0 dev
> ts-node --transpile-only src/index.ts

[2026-03-06T23:40:27.532Z] OPTIONS /api/entries/26?periodo=2026
[2026-03-06T23:40:27.532Z] GET /api/entries/10?periodo=2026
[2026-03-06T23:40:27.533Z] OPTIONS /api/entries/28?periodo=2026
[2026-03-06T23:40:27.533Z] GET /api/entries/9?periodo=2026
[2026-03-06T23:40:27.533Z] OPTIONS /api/entries/30?periodo=2026
[2026-03-06T23:40:27.534Z] OPTIONS /api/entries/29?periodo=2026
[2026-03-06T23:40:27.534Z] OPTIONS /api/entries/31?periodo=2026
[2026-03-06T23:40:27.534Z] OPTIONS /api/entries/32?periodo=2026
[2026-03-06T23:40:27.534Z] OPTIONS /api/entries/33?periodo=2026
[2026-03-06T23:40:27.534Z] GET /api/entries/11?periodo=2026
[2026-03-06T23:40:27.534Z] OPTIONS /api/entries/34?periodo=2026
[2026-03-06T23:40:27.535Z] OPTIONS /api/entries/35?periodo=2026
[2026-03-06T23:40:27.535Z] GET /api/entries/13?periodo=2026
[2026-03-06T23:40:27.535Z] GET /api/entries/12?periodo=2026
[2026-03-06T23:40:27.536Z] OPTIONS /api/entries/36?periodo=2026
[2026-03-06T23:40:27.538Z] OPTIONS /api/entries/37?periodo=2026
[2026-03-06T23:40:27.539Z] OPTIONS /api/entries/41?periodo=2026
[2026-03-06T23:40:27.539Z] OPTIONS /api/entries/39?periodo=2026
[2026-03-06T23:40:27.539Z] OPTIONS /api/entries/40?periodo=2026
[2026-03-06T23:40:27.539Z] OPTIONS /api/entries/42?periodo=2026
[2026-03-06T23:40:27.539Z] OPTIONS /api/entries/43?periodo=2026
[2026-03-06T23:40:27.542Z] OPTIONS /api/entries/45?periodo=2026
[2026-03-06T23:40:27.542Z] OPTIONS /api/entries/46?periodo=2026
[2026-03-06T23:40:27.548Z] OPTIONS /api/entries/47?periodo=2026
[2026-03-06T23:40:27.548Z] OPTIONS /api/entries/48?periodo=2026
[2026-03-06T23:40:27.549Z] OPTIONS /api/entries/49?periodo=2026
[2026-03-06T23:40:27.549Z] OPTIONS /api/entries/50?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/51?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/52?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/53?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/54?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/56?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/57?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/58?periodo=2026
[2026-03-06T23:40:27.551Z] OPTIONS /api/entries/59?periodo=2026
[2026-03-06T23:40:27.553Z] OPTIONS /api/entries/60?periodo=2026
[2026-03-06T23:40:27.553Z] OPTIONS /api/entries/61?periodo=2026
[2026-03-06T23:40:27.556Z] OPTIONS /api/entries/62?periodo=2026
[2026-03-06T23:40:27.556Z] OPTIONS /api/entries/63?periodo=2026
[2026-03-06T23:40:27.556Z] OPTIONS /api/entries/65?periodo=2026
[2026-03-06T23:40:27.557Z] OPTIONS /api/entries/66?periodo=2026
[2026-03-06T23:40:27.557Z] OPTIONS /api/entries/67?periodo=2026
[2026-03-06T23:40:27.558Z] OPTIONS /api/entries/69?periodo=2026
[2026-03-06T23:40:27.558Z] OPTIONS /api/entries/70?periodo=2026
[2026-03-06T23:40:27.559Z] OPTIONS /api/entries/71?periodo=2026
[2026-03-06T23:40:27.561Z] OPTIONS /api/entries/72?periodo=2026
[2026-03-06T23:40:27.561Z] OPTIONS /api/entries/73?periodo=2026
[2026-03-06T23:40:27.561Z] GET /api/entries/14?periodo=2026
[2026-03-06T23:40:27.561Z] OPTIONS /api/entries/75?periodo=2026
[2026-03-06T23:40:27.562Z] OPTIONS /api/entries/74?periodo=2026
[2026-03-06T23:40:27.562Z] OPTIONS /api/entries/76?periodo=2026
[2026-03-06T23:40:27.562Z] OPTIONS /api/entries/77?periodo=2026
[2026-03-06T23:40:27.562Z] OPTIONS /api/entries/78?periodo=2026
[2026-03-06T23:40:27.563Z] OPTIONS /api/entries/79?periodo=2026
[2026-03-06T23:40:27.563Z] OPTIONS /api/entries/81?periodo=2026
[2026-03-06T23:40:27.563Z] OPTIONS /api/entries/82?periodo=2026
[2026-03-06T23:40:27.564Z] OPTIONS /api/entries/83?periodo=2026
[2026-03-06T23:40:27.564Z] OPTIONS /api/entries/84?periodo=2026
[2026-03-06T23:40:27.564Z] GET /api/entries/15?periodo=2026
[2026-03-06T23:40:27.564Z] OPTIONS /api/entries/85?periodo=2026
[2026-03-06T23:40:27.564Z] GET /api/entries/16?periodo=2026
[2026-03-06T23:40:27.565Z] GET /api/entries/19?periodo=2026
[2026-03-06T23:40:27.565Z] GET /api/entries/18?periodo=2026
[2026-03-06T23:40:27.566Z] GET /api/entries/17?periodo=2026
[2026-03-06T23:40:27.566Z] OPTIONS /api/entries/86?periodo=2026
[2026-03-06T23:40:27.566Z] GET /api/entries/22?periodo=2026
[2026-03-06T23:40:27.567Z] OPTIONS /api/entries/87?periodo=2026
[2026-03-06T23:40:27.567Z] GET /api/entries/23?periodo=2026
[2026-03-06T23:40:27.567Z] GET /api/entries/24?periodo=2026
[2026-03-06T23:40:27.567Z] GET /api/entries/21?periodo=2026
[2026-03-06T23:40:27.568Z] OPTIONS /api/entries/89?periodo=2026
[2026-03-06T23:40:27.568Z] OPTIONS /api/entries/91?periodo=2026
[2026-03-06T23:40:27.569Z] OPTIONS /api/entries/92?periodo=2026
[2026-03-06T23:40:27.569Z] GET /api/entries/25?periodo=2026
[2026-03-06T23:40:27.569Z] OPTIONS /api/entries/96?periodo=2026
[2026-03-06T23:40:27.569Z] GET /api/entries/26?periodo=2026
[2026-03-06T23:40:27.570Z] OPTIONS /api/entries/93?periodo=2026
[2026-03-06T23:40:27.570Z] OPTIONS /api/entries/95?periodo=2026
[2026-03-06T23:40:27.570Z] GET /api/entries/28?periodo=2026
[2026-03-06T23:40:27.571Z] OPTIONS /api/entries/97?periodo=2026
[2026-03-06T23:40:27.571Z] OPTIONS /api/entries/98?periodo=2026
[2026-03-06T23:40:27.571Z] OPTIONS /api/entries/99?periodo=2026
[2026-03-06T23:40:27.571Z] OPTIONS /api/entries/100?periodo=2026
[2026-03-06T23:40:27.571Z] OPTIONS /api/entries/101?periodo=2026
[2026-03-06T23:40:27.571Z] GET /api/entries/30?periodo=2026
[2026-03-06T23:40:27.572Z] GET /api/entries/29?periodo=2026
[2026-03-06T23:40:27.572Z] GET /api/entries/31?periodo=2026
[2026-03-06T23:40:27.572Z] GET /api/entries/32?periodo=2026
[2026-03-06T23:40:27.573Z] GET /api/entries/33?periodo=2026
[2026-03-06T23:40:27.573Z] GET /api/entries/34?periodo=2026
[2026-03-06T23:40:27.574Z] GET /api/entries/35?periodo=2026
[2026-03-06T23:40:27.575Z] GET /api/entries/36?periodo=2026
[2026-03-06T23:40:27.575Z] OPTIONS /api/entries/102?periodo=2026
[2026-03-06T23:40:27.578Z] GET /api/entries/37?periodo=2026
[2026-03-06T23:40:27.578Z] OPTIONS /api/entries/103?periodo=2026
[2026-03-06T23:40:27.578Z] OPTIONS /api/entries/104?periodo=2026
[2026-03-06T23:40:27.579Z] GET /api/entries/41?periodo=2026
[2026-03-06T23:40:27.579Z] GET /api/entries/39?periodo=2026
[2026-03-06T23:40:27.580Z] GET /api/entries/40?periodo=2026
[2026-03-06T23:40:27.580Z] GET /api/entries/42?periodo=2026
[2026-03-06T23:40:27.580Z] GET /api/entries/43?periodo=2026
[2026-03-06T23:40:27.581Z] GET /api/entries/45?periodo=2026
[2026-03-06T23:40:27.582Z] GET /api/entries/46?periodo=2026
[2026-03-06T23:40:27.582Z] OPTIONS /api/entries/107?periodo=2026
[2026-03-06T23:40:27.583Z] OPTIONS /api/entries/108?periodo=2026
[2026-03-06T23:40:27.583Z] OPTIONS /api/entries/113?periodo=2026
[2026-03-06T23:40:27.583Z] OPTIONS /api/entries/110?periodo=2026
[2026-03-06T23:40:27.583Z] OPTIONS /api/entries/111?periodo=2026
[2026-03-06T23:40:27.583Z] OPTIONS /api/entries/112?periodo=2026
[2026-03-06T23:40:27.584Z] OPTIONS /api/entries/114?periodo=2026
[2026-03-06T23:40:27.584Z] OPTIONS /api/entries/115?periodo=2026
[2026-03-06T23:40:27.584Z] OPTIONS /api/entries/116?periodo=2026
[2026-03-06T23:40:27.585Z] OPTIONS /api/entries/117?periodo=2026
[2026-03-06T23:40:27.585Z] OPTIONS /api/entries/118?periodo=2026
[2026-03-06T23:40:27.585Z] OPTIONS /api/entries/119?periodo=2026
[2026-03-06T23:40:27.586Z] OPTIONS /api/entries/120?periodo=2026
[2026-03-06T23:40:27.587Z] OPTIONS /api/entries/121?periodo=2026
[2026-03-06T23:40:27.587Z] OPTIONS /api/entries/122?periodo=2026
[2026-03-06T23:40:27.587Z] OPTIONS /api/entries/123?periodo=2026
[2026-03-06T23:40:27.589Z] OPTIONS /api/entries/124?periodo=2026
[2026-03-06T23:40:27.589Z] OPTIONS /api/entries/125?periodo=2026
[2026-03-06T23:40:27.589Z] OPTIONS /api/entries/126?periodo=2026
[2026-03-06T23:40:27.589Z] GET /api/entries/47?periodo=2026
[2026-03-06T23:40:27.590Z] OPTIONS /api/entries/127?periodo=2026
[2026-03-06T23:40:27.590Z] GET /api/entries/48?periodo=2026
[2026-03-06T23:40:27.590Z] OPTIONS /api/entries/128?periodo=2026
[2026-03-06T23:40:27.590Z] GET /api/entries/49?periodo=2026
[2026-03-06T23:40:27.591Z] OPTIONS /api/entries/129?periodo=2026
[2026-03-06T23:40:27.591Z] OPTIONS /api/entries/130?periodo=2026
[2026-03-06T23:40:27.591Z] OPTIONS /api/entries/131?periodo=2026
[2026-03-06T23:40:27.592Z] OPTIONS /api/entries/132?periodo=2026
[2026-03-06T23:40:27.593Z] OPTIONS /api/entries/133?periodo=2026
[2026-03-06T23:40:27.593Z] OPTIONS /api/entries/134?periodo=2026
[2026-03-06T23:40:27.593Z] GET /api/entries/50?periodo=2026
[2026-03-06T23:40:27.593Z] GET /api/entries/51?periodo=2026
[2026-03-06T23:40:27.594Z] GET /api/entries/52?periodo=2026
[2026-03-06T23:40:27.594Z] GET /api/entries/53?periodo=2026
[2026-03-06T23:40:27.594Z] GET /api/entries/56?periodo=2026
[2026-03-06T23:40:27.595Z] GET /api/entries/54?periodo=2026
[2026-03-06T23:40:27.595Z] GET /api/entries/58?periodo=2026
[2026-03-06T23:40:27.596Z] OPTIONS /api/entries/135?periodo=2026
[2026-03-06T23:40:27.596Z] GET /api/entries/57?periodo=2026
